Family_Members,Bathrooms,Washing_Machine,Garden,Daily_Water_Usage
7,1,0,0,852
5,1,0,1,703
7,3,0,1,1010
3,2,0,1,493
4,2,1,1,660
1,2,1,0,224
1,3,0,0,202
4,3,1,1,667
5,3,0,0,663
7,2,1,0,933
2,2,0,1,351
4,3,1,0,592
7,3,1,0,980
2,2,1,1,403
6,1,0,1,830
4,2,1,1,675
6,3,1,0,832
6,3,1,0,864
5,1,1,0,678
2,1,1,1,415
5,3,0,0,679
7,1,1,0,902
7,3,0,0,902
3,3,0,0,419
2,3,1,0,372
7,1,1,1,1008
1,3,0,1,278
5,3,1,1,806
3,3,0,0,451
7,2,0,0,874
2,3,0,1,413
3,1,0,0,390
2,1,0,0,276
7,1,1,0,926
4,2,0,0,548
5,3,0,0,690
5,3,0,0,676
4,2,1,0,565
4,2,1,0,587
1,3,1,0,225
1,3,1,0,237
1,3,0,1,262
3,1,1,0,447
3,2,1,1,534
3,2,1,1,543
1,1,1,0,186
6,3,1,0,861
1,1,0,0,126
2,2,0,0,301
1,1,0,1,206
5,2,1,1,791
7,3,0,1,991
7,2,1,0,953
6,2,0,0,765
1,1,1,0,180
5,3,1,1,820
3,2,0,0,408
4,3,1,0,617
7,2,1,0,930
4,1,0,1,587
7,2,1,0,926
4,2,1,0,561
1,2,1,0,236
3,3,0,0,449
3,3,1,1,577
4,3,0,1,650
6,2,0,1,854
3,1,0,1,462
2,2,0,1,390
4,1,1,0,548
5,3,0,0,687
4,3,0,1,636
6,2,1,1,887
3,3,1,0,494
1,3,1,0,229
4,1,1,0,538
3,1,1,0,442
6,1,1,0,780
3,1,0,1,473
1,2,0,0,184
4,1,1,0,555
7,1,1,0,912
1,2,0,1,232
6,2,1,0,821
7,2,0,0,871
2,1,1,0,303
3,2,1,0,468
2,3,1,0,369
5,2,0,0,665
5,1,1,1,750
6,3,0,0,802
2,2,1,0,341
3,1,1,0,436
2,2,1,0,325
7,2,0,1,986
1,1,1,1,259
7,2,0,1,979
7,3,0,1,990
5,2,1,1,789
3,1,1,0,433
4,2,0,1,626
2,1,1,0,303
4,1,0,1,565
7,2,1,1,1024
5,1,0,1,723
7,1,1,0,897
4,2,1,0,596
6,1,0,1,832
5,3,0,1,739
4,2,1,1,660
7,1,1,1,1011
7,2,1,1,1004
4,2,1,0,569
2,3,1,1,425
5,1,1,1,758
7,2,0,1,981
3,2,0,1,502
1,1,0,0,161
4,3,0,0,574
2,3,1,0,357
4,3,1,1,699
7,1,1,1,1003
2,2,1,1,433
3,1,0,1,455
5,1,0,0,640
2,1,0,1,359
1,3,1,1,322
1,3,1,1,327
6,1,1,0,787
7,1,0,0,874
1,1,1,1,279
6,1,0,0,760
4,1,0,0,496
1,3,1,1,335
4,3,1,0,600
5,1,0,1,709
4,3,0,1,637
1,3,0,0,213
6,3,1,0,859
7,1,0,0,862
7,1,1,1,991
5,2,0,1,722
2,1,1,0,296
5,1,0,1,703
5,1,1,1,751
7,3,0,0,898
4,2,1,0,578
5,2,0,0,639
2,3,0,1,377
5,1,1,1,754
4,1,0,0,523
1,3,0,1,279
